"species.name"	"region"	"native_occurences"	"naturalised_occurences"	"Dstat_overlap"	"expansion"	"stability"	"unfilling"	"total.occupancy"	"expansion.observed.cells"	"expansion.potential.cells"	"nnd"	"nnd.propn"	"nnd.observed.cells"	"nnd.observed.cells.propn"	"nnu"	"nnu.propn"	"nnu.observed.cells"	"nnu.observed.cells.propn"	"native_center_x"	"native_center_y"	"natur_center_x"	"natur_center_y"	"natur_poten_x"	"natur_poten_y"	"native_center_tmax"	"native_center_precip"	"circular_model"	"circ_rstat"	"circ_pstat"	"mean_exp_dist1"	"median_exp_dist1"	"ten_exp_dist1"	"ninety_exp_dist1"	"max_exp_dist1"	"mean_exp_dist2"	"median_exp_dist2"	"ten_exp_dist2"	"ninety_exp_dist2"	"max_exp_dist2"	"proportion_tmax"	"proportion_precip"	"CV"	"exp_dir1"	"exp_dir2"	"concentration_dir1"	"concentration_dir2"	"alt_circular_model"
"Echinochloa colona"	"Nearctic"	436	492	NA	0.00075	0.99925	0.03782	94.90046	4	2001	0.071	0.001	4	0.006	3.605	0.038	199	0.439	-0.736040234343062	0.288553208362959	-0.684649883286877	0.344593670654277	-0.260708165966113	-0.0570030158199395	334	912	"M2A"	0.99358637156435	0	0.788494063761211	0.783491613878301	0.756057666951498	0.822931440524087	0.832791397185534	NA	NA	NA	NA	NA	0	0	0.006348007910841	5.915	NA	78.211	0	NA
"Echinochloa colona"	"Neotropical"	388	228	NA	0.01407	0.98593	0.02705	126.28975	79	1961	1.777	0.02	79	0.115	2.461	0.019	105	0.159	-0.762592161599663	0.110638379380739	-1.06613902676792	-0.338347587593615	-1.42762584291263	-0.678644964445613	324	1010	"M5A"	0.666202297457591	0	2.35837155628457	2.60640330442549	1.12773649993884	3.10490666543919	3.30802778799451	2.14333208619896	2.40117583361184	1.22505995760358	2.66676039097117	2.72902235255836	0.221290823941293	0.680225679014719	0.699492341651614	3.567	0.068	5.494	5.494	NA
"Echinochloa colona"	"Oceanian"	64	30	NA	0.26983	0.73017	0.03896	326.8071	350	2177	88.183	0.529	350	0.742	6.49	0.02	37	0.047	-1.49985485374541	-0.837732883293211	-2.34212329233808	-1.71175018277527	-2.3827560002393	-1.80500106105346	310	1817	"M5A"	0.494030565627857	0	1.87978442911498	1.91563411806042	1.2516964298412	2.40515354497188	2.59342184634747	1.19489716277844	1.12418568450379	0.833403107901799	1.62769749461832	1.88244393176818	0.288764478038401	0.550062412749382	0.299559610695061	3.358	6.145	4.596	4.596	NA
"Echinochloa colona"	"Oriental"	456	68	NA	0.05781	0.94219	0.22571	236.72871	104	1866	13.686	0.124	104	0.133	24.823	0.105	231	0.352	-0.768953473843961	0.289078621817174	-1.60174995353455	-0.762950802271846	-1.64890458790919	-0.420786887398053	337	928	"M5B"	0.807927831847165	0	2.15625759683991	2.37781650960993	1.06638625983726	2.82199501711623	3.03393216453074	2.18700642697626	2.16363827060539	1.5388910966209	2.80614953850027	3.03393216453074	0.0617383519983509	0.604500812129871	0.289994942541717	3.878	4.665	1.404	14.799	NA
"Echinochloa colona"	"Palearctic_West"	302	188	NA	0.15149	0.84851	0.31064	56.61536	42	2279	8.577	0.145	42	0.114	18.323	0.324	221	1.157	-0.455091150503573	0.509610368644805	-0.0668454815060629	-0.164436778908722	0.00568208535248328	-0.142151875403924	330	672	"M2C"	0.861085715549018	0	0.971598668414553	1.00405438900793	0.782581219565032	1.14903172887669	1.25855020417753	NA	NA	NA	NA	NA	0	0.329430904602579	0.175923870976319	4.609	NA	18.401	0	NA
"Echinochloa colona"	"Panamanian"	295	222	NA	0.06476	0.93524	0.04868	152.647	262	1995	9.885	0.089	262	0.401	5.395	0.035	96	0.117	-0.868057041356384	-0.0234806918085838	-1.71495666233781	-0.792151681455936	-1.61664639988005	-0.820888162720725	322	1124	"M2A"	0.856568785008992	0	2.88428132324425	3.07278070801044	1.63580909890507	3.81842813961383	5.62695771409728	NA	NA	NA	NA	NA	0.294024601102791	0.756046314566241	0.138555711781096	3.481	NA	3.828	0	NA
"Echinochloa colona"	"Sino-Japanese"	311	6	NA	0.02835	0.97165	0.82771	77.98129	5	2108	2.211	0.031	5	0.009	58.5	0.75	414	3.136	-0.646040379666243	0.0885855698847355	-1.03739044644689	-0.755245432805912	-0.847263121072899	-0.428560237979151	315	965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Echinochloa crus-galli"	"Afrotropical"	89	8	NA	0.51565	0.48435	0.10633	117.37796	132	2513	60.526	1.385	132	0.971	4.646	0.04	33	0.14	-0.225059940517131	0.0147409261952128	-0.73846058976098	-0.249381093148872	-0.404474516080443	0.302298886866092	282	798	"M5B"	0.918933629019119	0	1.12285704479392	1.15841788861612	0.72538206870418	1.50993396382286	1.62396637303568	1.26285321613416	1.28800609715418	0.91794607653122	1.52474624803655	1.62396637303568	0.0282419863616038	0.68017149070428	0.156877439393434	3.724	4.631	2.349	16.477	NA
"Echinochloa crus-galli"	"Australian"	85	388	NA	0.23588	0.76412	0	76.4292	283	2503	18.028	0.427	283	1.938	0	0	0	0	-0.234355588759973	-0.00410547249264858	-0.48306217431717	-0.041642457660171	-0.352000240483141	0.4792471987934	282	812	"M2C"	0.835963174296671	0	1.82167101538996	1.75277272500092	1.04985502133166	2.46683392008815	4.34289995749352	NA	NA	NA	NA	NA	0.00556755280537789	0.829238754970975	0.418835862177495	4.114	NA	28.034	0	NA
"Echinochloa crus-galli"	"Nearctic"	89	874	NA	0.35544	0.64456	0	92.25552	385	2513	32.791	0.75	385	2.831	0	0	0	0	-0.225059940517131	0.0147409261952128	-0.511667090282547	0.12410498605585	-0.124568659938047	-0.00336573659659592	282	798	"M5B"	0.626086244887679	0	1.56235619268761	1.54477041107477	1.02836452017136	2.10823425615216	2.78010617566592	1.42640988484023	1.40468438961841	1.05183409310115	1.91249756037365	2.14749010591543	0.66043865161892	0.242294110275524	0.509421494122128	3.95	1.884	11.911	6.848	NA
