"species_name","region","kept_natur","thrown_natur","kept_native","thrown_native"
"Chelidonium majus","Palearctic_East","6","0","2635","79"
"Chelidonium majus","Sino-Japanese","41","0","2704","10"
"Chenopodium album","Australian","347","0","3142","862"
"Chenopodium album","Nearctic","718","1","4004","0"
"Chenopodium album","Afrotropical","104","0","3064","940"
"Chenopodium album","Sino-Japanese","108","3","3954","50"
"Chenopodium album","Oriental","39","6","3824","180"
"Chenopodium album","Palearctic_West","41","0","4004","0"
"Chenopodium album","Neotropical","32","0","4000","4"
"Chenopodium album","Panamanian","5","2","2453","1551"
"Chenopodium album","Saharo-Arabian","31","0","3480","524"
"Chenopodium album","Palearctic_East","16","0","3722","282"
"Chenopodium opulifolium","Palearctic_West","81","0","516","6"
"Chenopodium opulifolium","Afrotropical","16","0","519","3"
"Chenopodium opulifolium","Australian","5","0","521","1"
"Chondrilla juncea","Nearctic","67","1","1220","0"
"Chondrilla juncea","Australian","374","0","1208","12"
"Chondrilla juncea","Palearctic_West","6","0","1220","0"
"Chorispora tenella","Nearctic","332","0","35","0"
"Chorispora tenella","Palearctic_West","24","0","33","2"
"Chorispora tenella","Australian","6","0","19","16"
"Chorispora tenella","Sino-Japanese","5","0","31","4"
"Chorispora tenella","Neotropical","9","0","34","1"
"Cichorium intybus","Australian","230","0","2456","45"
"Cichorium intybus","Neotropical","33","0","2498","3"
"Cichorium intybus","Nearctic","476","0","2501","0"
"Cichorium intybus","Palearctic_West","184","0","2498","3"
"Cichorium intybus","Afrotropical","33","0","2403","98"
"Cichorium intybus","Saharo-Arabian","19","0","2405","96"
"Cinnamomum camphora","Nearctic","26","0","55","8"
"Cinnamomum camphora","Australian","92","0","52","11"
"Cinnamomum camphora","Neotropical","9","0","63","0"
"Cinnamomum camphora","Sino-Japanese","90","0","62","1"
"Cinnamomum camphora","Afrotropical","17","0","50","13"
"Cinnamomum camphora","Oriental","30","0","63","0"
"Cinnamomum camphora","Palearctic_West","9","0","23","40"
"Cinnamomum camphora","Panamanian","5","0","63","0"
